Save As,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Save As,另存为,另存新檔,名前を付けて保存,다른 이름으로 저장,Guardar como,Salvar Como,Enregistrer sous,Speichern unter,Сохранить как,Salva come,Zapisz jako,Farklı Kaydet
Save All,,,"res://addons/gdsql/gxml/editor/xml_editor_panel.tscn
res://addons/gdsql/tabs/mapper_graph.gd:1115",Save All,全部保存,全部儲存,すべて保存,모두 저장,Guardar todo,Salvar Tudo,Tout enregistrer,Alles speichern,Сохранить всё,Salva tutto,Zapisz wszystko,Tümünü Kaydet
Close,,,"res://addons/gdsql/gxml/editor/xml_editor_panel.tscn
res://addons/gdsql/tabs/table_inspector.tscn",Close,关闭,關閉,閉じる,닫기,Cerrar,Fechar,Fermer,Schließen,Закрыть,Chiudi,Zamknij,Kapat
Close All,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Close All,全部关闭,全部關閉,すべて閉じる,모두 닫기,Cerrar todo,Fechar Tudo,Tout fermer,Alles schließen,Закрыть все вкладки,Chiudi tutto,Zamknij wszystko,Tümünü Kapat
Close Other Tabs,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Close Other Tabs,关闭其他标签页,關閉其他分頁,その他のタブを閉じる,다른 탭 닫기,Cerrar otras pestañas,Fechar Outras Abas,Fermer les autres onglets,Andere Tabs schließen,Закрыть остальные вкладки,Chiudi altre schede,Zamknij inne karty,Diğer Sekmeleri Kapat
GBatisMapperValidator,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,GBatisMapperValidator,GDBatis映射器校验器,GBatis 對應器驗證器,GBatisマッパー検証ツール,GBatis 매퍼 검증기,Validador de mapeador GBatis,Validador GBatisMapper,Validateur de mappeur GBatis,GBatis-Mapper-Validator,Проверка маппера GBatis,Validatore mappatore GBatis,Walidator mappera GBatis,GBatis Eşleştirici Doğrulayıcı
Find...,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Find...,查找...,尋找...,検索...,찾기...,Buscar...,Localizar...,Rechercher...,Suchen...,Найти...,Cerca...,Szukaj...,Bul...
Find Next,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Find Next,查找下一项,尋找下一個,次を検索,다음 찾기,Buscar siguiente,Localizar Próximo,Rechercher suivant,Weitersuchen,Найти далее,Cerca successivo,Szukaj dalej,Sonrakini Bul
Find Previous,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Find Previous,查找上一项,尋找上一個,前を検索,이전 찾기,Buscar anterior,Localizar Anterior,Rechercher précédent,Zurücksuchen,Найти ранее,Cerca precedente,Szukaj wstecz,Öncekini Bul
Replace...,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Replace...,替换...,取代...,置換...,바꾸기...,Reemplazar...,Substituir...,Remplacer...,Ersetzen...,Заменить...,Sostituisci...,Zamień...,Değiştir...
Find in Files,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Find in Files,全局查找,全域尋找,ファイル内検索,파일 내 찾기,Buscar en archivos,Localizar em Arquivos,Rechercher dans les fichiers,In Dateien suchen,Поиск в файлах,Cerca nei file,Szukaj w plikach,Dosyalarda Ara
Replace in Files,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Replace in Files,全局替换,全域取代,ファイル内置換,파일 내 바꾸기,Reemplazar en archivos,Substituir em Arquivos,Remplacer dans les fichiers,In Dateien ersetzen,Замена в файлах,Sostituisci nei file,Zamień w plikach,Dosyalarda Değiştir
Contextual Help,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Contextual Help,上下文帮助,即時說明,コンテキストヘルプ,상황별 도움말,Ayuda contextual,Ajuda Contextual,Aide contextuelle,Kontextbezogene Hilfe,Контекстная справка,Guida contestuale,Pomoc kontekstowa,Bağlamsal Yardım
Always on top,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Always on top,置顶显示,永遠置頂,常に最前面,항상 위에 표시,Siempre visible,Sempre no Topo,Toujours au premier plan,Im Vordergrund,Всегда сверху,Sempre in primo piano,Zawsze na wierzchu,Her Zaman Üstte
Filter Files,,,"res://addons/gdsql/gxml/editor/xml_editor_panel.tscn
res://addons/gdsql/tabs/mapper_graph.gd:1119",Filter Files,文件筛选,檔案篩選,ファイルフィルター,파일 필터,Filtrar archivos,Filtrar Arquivos,Filtrer les fichiers,Dateien filtern,Фильтр файлов,Filtra file,Filtr plików,Dosya Filtresi
Useless for now.,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Useless for now.,暂未启用,暫無作用,現在未使用,현재 사용 안 함,Sin uso por ahora.,Inútil por enquanto.,Inutile pour le moment.,Derzeit ungenutzt.,Временно не используется.,Inutilizzato al momento.,Obecnie nieużywane.,Şu anda kullanılmıyor.
Filter Items,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Filter Items,条目筛选,項目篩選,アイテムフィルター,항목 필터,Filtrar elementos,Filtrar Itens,Filtrer les éléments,Elemente filtern,Фильтр элементов,Filtra elementi,Filtr elementów,Öğe Filtresi
Soft Reload Tool Script,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Soft Reload Tool Script,脚本软重载工具,指令稿手動重新載入工具,スクリプトリロードツール,스크립트 수동 다시 로드 도구,Herramienta de recarga de scripts,Ferramenta de Recarregamento Suave de Script,Outil de rechargement manuel des scripts,Skript-Neuladewerkzeug,Инструмент перезагрузки скриптов,Strumento ricarica script,Narzędzie przeładowania skryptów,Komut Dosyası Yenileme Aracı
Show in FileSystem,,,res://addons/gdsql/gxml/editor/xml_editor_panel.tscn,Show in FileSystem,在文件系统中显示,在檔案瀏覽器顯示,ファイルシステムで表示,파일 탐색기에서 표시,Mostrar en sistema de archivos,Exibir no Sistema de Arquivos,Afficher dans l'explorateur de fichiers,Im Dateisystem anzeigen,Показать в файловой системе,Mostra nel sistema file,Pokaż w systemie plików,Dosya Sisteminde Göster
XML Editor,,,res://addons/gdsql/gxml/editor/xml_editor_window.tscn,XML Editor,XML编辑器,XML 編輯器,XMLエディター,XML 편집기,Editor XML,Editor XML,Éditeur XML,XML-Editor,Редактор XML,Editor XML,Edytor XML,XML Düzenleyici
Edit,,,res://addons/gdsql/inspector_plugin/xml_inspector_plugin.gd:26,Edit,编辑,編輯,編集,편집,Editar,Editar,Modifier,Bearbeiten,Изменить,Modifica,Edytuj,Düzenle
Database name. The system is case-insensitive for this name.,,,"res://addons/gdsql/tabs/alter_schema.tscn
res://addons/gdsql/tabs/new_schema.tscn",Database name. The system is case-insensitive for this name.,数据库名称。系统对此名称不区分大小写。,資料庫名稱。系統對此名稱不區分大小寫。,データベース名。システムはこの名前に対して大文字と小文字を区別しません。,데이터베이스 이름. 시스템은 이 이름에 대해 대소문자를 구분하지 않습니다.,Nombre de la base de datos. El sistema no distingue entre mayúsculas y minúsculas para este nombre.,Nome do banco de dados. O sistema não diferencia maiúsculas de minúsculas para este nome.,Nom de la base de données. Le système ne tient pas compte de la casse pour ce nom.,Datenbankname. Das System unterscheidet bei diesem Namen nicht zwischen Groß- und Kleinschreibung.,Имя базы данных. Система не чувствительна к регистру для этого имени.,Nome del database. Il sistema non fa distinzione tra maiuscole e minuscole per questo nome.,Nazwa bazy danych. System nie rozróżnia wielkości liter dla tej nazwy.,Veritabanı adı. Sistem bu ad için büyük/küçük harf duyarlılığına sahip değildir.
choose a dir,,,"res://addons/gdsql/tabs/alter_schema.tscn
res://addons/gdsql/tabs/new_schema.tscn",choose a dir,选择文件夹,選擇資料夾,フォルダーを選択,폴더 선택,Seleccionar carpeta,Escolher pasta,Choisir un dossier,Ordner auswählen,Выбрать папку,Seleziona cartella,Wybierz folder,Klasör Seç
Apply,,,"res://addons/gdsql/tabs/alter_schema.tscn
res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_schema.tscn
res://addons/gdsql/tabs/new_table.tscn
res://addons/gdsql/tabs/sql_graph.gd:2986",Apply,应用,套用,適用,적용,Aplicar,Aplicar,Appliquer,Anwenden,Применить,Applica,Zastosuj,Uygula
Cancel,,,"res://addons/gdsql/tabs/alter_schema.tscn
res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_schema.tscn
res://addons/gdsql/tabs/new_table.tscn
res://addons/gdsql/tabs/select_data_export.tscn
res://addons/gdsql/tabs/table_data_export.tscn
res://addons/gdsql/tabs/table_data_import.tscn",Cancel,取消,取消,キャンセル,취소,Cancelar,Cancelar,Annuler,Abbrechen,Отмена,Annulla,Anuluj,İptal
Schema,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn
res://addons/gdsql/tabs/table_inspector.tscn",Schema,数据表数据库,資料庫,データベース,데이터베이스,Base de datos,Banco de Dados,Base de données,Datenbank,База данных,Database,Baza danych,Veritabanı
Table Name,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn
res://addons/gdsql/tabs/table_inspector.tscn",Table Name,数据表名称,資料表名稱,テーブル名,테이블 이름,Nombre de tabla,Nome da Tabela,Nom de la table,Tabellenname,Имя таблицы,Nome tabella,Nazwa tabeli,Tablo Adı
Comments,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn
res://addons/gdsql/tabs/table_inspector.tscn",Comments,备注,備註,コメント,주석,Comentarios,Comentários,Commentaires,Kommentare,Комментарии,Commenti,Komentarze,Açıklamalar
Use without table pre-creation,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn",Use without table pre-creation,无需提前建表即可使用,無需提前建立資料表即可使用,事前にテーブル作成不要,테이블 사전 생성 없이 사용 가능,Uso sin creación previa de tabla,Uso sem criação prévia da tabela,Utilisable sans création préalable de table,Nutzung ohne vorherige Tabellenerstellung,Использование без предварительного создания таблицы,Utilizzo senza creazione preliminare della tabella,Użycie bez wcześniejszego tworzenia tabeli,Önceden tablo oluşturmadan kullanım
(will not trigger file-not-exist-error),,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn",(will not trigger file-not-exist-error),（不会触发文件不存在报错）,(不會觸發檔案不存在錯誤),(ファイル不存在エラーをトリガーしません),(파일 없음 오류를 트리거하지 않음),(No activará error de archivo no encontrado),(não irá disparar erro de arquivo inexistente),(ne déclenche pas d'erreur de fichier introuvable),(löst keinen Fehler für fehlende Dateien aus),(не вызывает ошибку отсутствия файла),(non genera errore file mancante),(nie wywołuje błędu braku pliku),(dosya bulunamadı hatasını tetiklemez)
➕New Column,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn",➕New Column,➕新增字段,➕新增欄位,➕追加フィールド,➕새 필드,➕Nuevo campo,➕Nova Coluna,➕Nouvelle colonne,➕Neues Feld,➕Новое поле,➕Nuovo campo,➕Nowe pole,➕Yeni Alan
remove,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn",remove,删除,刪除,削除,삭제,Eliminar,Remover,Supprimer,Entfernen,Удалить,Elimina,Usuń,Sil
move top,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn",move top,置顶,移至頂端,一番上へ,맨 위로 이동,Mover al principio,Mover para o Topo,Déplacer en haut,Nach oben verschieben,Переместить вверх,Sposta in alto,Przenieś na górę,En Üste Taşı
move up,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn",move up,上移,上移,上へ,위로 이동,Subir,Mover Acima,Monter,Nach oben,Поднять,Sposta su,Przenieś w górę,Yukarı Taşı
move down,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn",move down,下移,下移,下へ,아래로 이동,Bajar,Mover Abaixo,Descendre,Nach unten,Опустить,Sposta giù,Przenieś w dół,Aşağı Taşı
move bottom,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn",move bottom,置底,移至底端,一番下へ,맨 아래로 이동,Mover al final,Mover para o Rodapé,Déplacer en bas,Nach unten verschieben,Переместить вниз,Sposta in basso,Przenieś na dół,En Alta Taşı
insert above,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn",insert above,上方插入,上方插入欄位,上に挿入,위에 삽입,Insertar arriba,Inserir Acima,Insérer au-dessus,Oben einfügen,Вставить выше,Inserisci sopra,Wstaw powyżej,Üste Ekle
insert below,,,"res://addons/gdsql/tabs/alter_table.tscn
res://addons/gdsql/tabs/new_table.tscn",insert below,下方插入,下方插入欄位,下に挿入,아래에 삽입,Insertar abajo,Inserir Abaixo,Insérer en dessous,Unten einfügen,Вставить ниже,Inserisci sotto,Wstaw poniżej,Alta Ekle
GDSQL Mapper Project File,,,res://addons/gdsql/tabs/mapper_graph.gd:111,GDSQL Mapper Project File,GDSQL映射器工程文件,GDSQL 對應器專案檔,GDSQLマッパープロジェクトファイル,GDSQL 매퍼 프로젝트 파일,Archivo de proyecto de mapeador GDSQL,Arquivo de Projeto do Mapeador GDSQL,Fichier de projet du mappeur GDSQL,GDSQL-Mapper-Projektdatei,Файл проекта маппера GDSQL,File progetto mappatore GDSQL,Plik projektu mappera GDSQL,GDSQL Eşleştirici Proje Dosyası
GDSQL MAPPER File,,,res://addons/gdsql/tabs/mapper_graph.gd:145,GDSQL MAPPER File,GDSQL映射器文件,GDSQL 對應器檔,GDSQLマッパーファイル,GDSQL 매퍼 파일,Archivo de mapeador GDSQL,Arquivo GDSQL MAPPER,Fichier mappeur GDSQL,GDSQL-Mapper-Datei,Файл маппера GDSQL,File mappatore GDSQL,Plik mappera GDSQL,GDSQL Eşleştirici Dosyası
Save path,,,res://addons/gdsql/tabs/mapper_graph.gd:1085,Save path,保存路径,儲存路徑,保存パス,저장 경로,Ruta de guardado,Caminho de Salvamento,Chemin d'enregistrement,Speicherpfad,Путь сохранения,Percorso salvataggio,Ścieżka zapisu,Kaydetme Yolu
Resource,,,"res://addons/gdsql/tabs/mapper_graph.gd:1105
res://addons/gdsql/tabs/mapper_graph.tscn
res://addons/gdsql/tabs/new_schema.tscn
res://addons/gdsql/tabs/select_data_export.tscn
res://addons/gdsql/tabs/table_data_export.tscn
res://addons/gdsql/tabs/table_data_import.tscn",Resource,资源目录,資源目錄,リソース,리소스,Recurso,Recurso,Ressource,Ressource,Ресурс,Risorsa,Zasób,Kaynak
UserData,,,"res://addons/gdsql/tabs/mapper_graph.gd:1106
res://addons/gdsql/tabs/mapper_graph.tscn
res://addons/gdsql/tabs/new_schema.tscn
res://addons/gdsql/tabs/select_data_export.tscn
res://addons/gdsql/tabs/table_data_export.tscn
res://addons/gdsql/tabs/table_data_import.tscn",UserData,用户目录,使用者資料目錄,ユーザーデータ,사용자 데이터,Datos de usuario,Dados do Usuário,Données utilisateur,Benutzerdaten,Данные пользователя,Dati utente,Dane użytkownika,Kullanıcı Verileri
FileSystem,,,"res://addons/gdsql/tabs/mapper_graph.gd:1107
res://addons/gdsql/tabs/mapper_graph.tscn
res://addons/gdsql/tabs/new_schema.tscn
res://addons/gdsql/tabs/select_data_export.tscn
res://addons/gdsql/tabs/table_data_export.tscn
res://addons/gdsql/tabs/table_data_import.tscn",FileSystem,文件系统,檔案系統,ファイルシステム,파일 시스템,Sistema de archivos,Sistema de Arquivos,Système de fichiers,Dateisystem,Файловая система,Sistema file,System plików,Dosya Sistemi
"Pick a path from Resource, UserData or FileSystem.",,,"res://addons/gdsql/tabs/mapper_graph.gd:1108
res://addons/gdsql/tabs/mapper_graph.tscn","Pick a path from Resource, UserData or FileSystem.",从资源目录、用户目录或文件系统中选择路径。,從資源、使用者資料或檔案系統選擇路徑。,リソース、ユーザーデータまたはファイルシステムからパスを選択してください。,"리소스, 사용자 데이터 또는 파일 시스템에서 경로를 선택하세요.","Selecciona una ruta desde Recurso, Datos de usuario o Sistema de archivos.","Escolha um caminho entre Recurso, Dados do Usuário ou Sistema de Arquivos.","Sélectionnez un chemin parmi Ressource, Données utilisateur ou Système de fichiers.","Wähle einen Pfad aus Ressource, Benutzerdaten oder Dateisystem aus.","Выберите путь из ресурсов, данных пользователя или файловой системы.","Seleziona un percorso tra Risorsa, Dati utente o Sistema file.","Wybierz ścieżkę z Zasobu, Danych użytkownika lub Systemu plików.","Kaynak, Kullanıcı Verileri veya Dosya Sisteminden bir yol seçin."
XML File,,,res://addons/gdsql/tabs/mapper_graph.gd:1389,XML File,XML文件,XML 檔案,XMLファイル,XML 파일,Archivo XML,Arquivo XML,Fichier XML,XML-Datei,Файл XML,File XML,Plik XML,XML Dosyası
GDScript File,,,res://addons/gdsql/tabs/mapper_graph.gd:1391,GDScript File,GDScript脚本文件,GDScript 指令稿檔,GDScriptファイル,GDScript 파일,Archivo GDScript,Arquivo GDScript,Fichier GDScript,GDScript-Datei,Файл GDScript,File GDScript,Plik GDScript,GDScript Dosyası
This table is not exist!,,,res://addons/gdsql/tabs/mapper_graph.gd:1890,This table is not exist!,该数据表不存在！,此資料表不存在！,このテーブルは存在しません！,이 테이블은 존재하지 않습니다!,¡Esta tabla no existe!,Esta tabela não existe!,Cette table n'existe pas !,Diese Tabelle existiert nicht!,Эта таблица не существует!,Questa tabella non esiste!,Ta tabela nie istnieje!,Bu tablo mevcut değil!
Table comment changes.,,,res://addons/gdsql/tabs/mapper_graph.gd:1900,Table comment changes.,数据表备注已修改。,資料表備註已變更。,テーブルコメントが変更されました。,테이블 주석이 변경되었습니다.,Comentario de tabla modificado.,Alterações no comentário da tabela.,Commentaire de la table modifié.,Tabellenkommentar geändert.,Комментарий таблицы изменён.,Commento tabella modificato.,Komentarz tabeli został zmieniony.,Tablo açıklaması değiştirildi.
Column name changed:,,,"res://addons/gdsql/tabs/mapper_graph.gd:1929
res://addons/gdsql/tabs/mapper_graph.gd:2070",Column name changed:,字段名称已修改：,欄位名稱已變更：,フィールド名が変更されました:,필드 이름이 변경됨:,Nombre de campo cambiado:,Nome da coluna alterado:,Nom de colonne modifié :,Feldname geändert:,Имя поля изменено:,Nome campo modificato:,Nazwa pola została zmieniona:,Alan adı değiştirildi:
Column [%s] defination changed:,,,"res://addons/gdsql/tabs/mapper_graph.gd:1966
res://addons/gdsql/tabs/mapper_graph.gd:2086",Column [%s] definition changed:,字段【%s】定义已修改：,欄位 [%s] 定義已變更：,フィールド [%s] 定義が変更されました:,필드 [%s] 정의가 변경됨:,Definición de campo [%s] cambiada:,Definição da coluna [%s] alterada:,Définition de la colonne [%s] modifiée :,Felddefinition [%s] geändert:,Определение поля [%s] изменено:,Definizione campo [%s] modificata:,Definicja pola [%s] została zmieniona:,[%s] alan tanımı değiştirildi:
Open file to modify this,,,"res://addons/gdsql/tabs/mapper_graph.gd:2043
res://addons/gdsql/tabs/mapper_graph.gd:2105",Open file to modify this,打开文件以进行编辑修改,開啟檔案進行編輯修改,編集のためファイルを開く,수정할 파일 열기,Abrir archivo para modificar,Abrir arquivo para modificar,Ouvrir le fichier pour modification,Datei zur Bearbeitung öffnen,Открыть файл для редактирования,Apri file per modifiche,Otwórz plik do edycji,Düzenlemek için dosyayı aç
Confirm the changes:,,,res://addons/gdsql/tabs/mapper_graph.gd:2053,Confirm the changes:,确认修改内容：,確認變更內容：,変更を確認:,변경 사항 확인:,Confirmar cambios:,Confirmar alterações:,Confirmer les modifications :,Änderungen bestätigen:,Подтвердить изменения:,Conferma modifiche:,Potwierdź zmiany:,Değişiklikleri Onayla:
Click [%s] ,,,res://addons/gdsql/tabs/mapper_graph.gd:2055,Click [%s],点击【%s】,點擊 [%s],[%s] をクリック,[%s] 클릭,Haz clic en [%s],Clique em [%s],Cliquez sur [%s],Klicke auf [%s],Нажмите [%s],Clicca su [%s],Kliknij [%s],[%s] öğesine tıkla
OK,,,res://addons/gdsql/tabs/mapper_graph.gd:2055,OK,确定,確定,OK,확인,Aceptar,OK,OK,OK,ОК,OK,OK,Tamam
to confirm the changes:,,,res://addons/gdsql/tabs/mapper_graph.gd:2055,to confirm the changes:,确认以下修改：,確認以下變更：,変更を確定する:,변경 사항 확정:,para confirmar los cambios:,para confirmar as alterações:,pour confirmer les modifications :,um Änderungen zu bestätigen:,чтобы подтвердить изменения:,per confermare le modifiche:,aby potwierdzić zmiany:,değişiklikleri onaylamak için:
Table: %s.%s,,,res://addons/gdsql/tabs/mapper_graph.gd:2069,Table: %s.%s,数据表：%s.%s,資料表：%s.%s,テーブル: %s.%s,테이블: %s.%s,Tabla: %s.%s,Tabela: %s.%s,Table : %s.%s,Tabelle: %s.%s,Таблица: %s.%s,Tabella: %s.%s,Tabela: %s.%s,Tablo: %s.%s
Save As...,,,res://addons/gdsql/tabs/mapper_graph.tscn,Save As...,另存为...,另存新檔...,名前を付けて保存...,다른 이름으로 저장...,Guardar como...,Salvar Como...,Enregistrer sous...,Speichern unter...,Сохранить как...,Salva come...,Zapisz jako...,Farklı Kaydet...
This button does not work. Please drag a table from left tree into this panel.,,,res://addons/gdsql/tabs/mapper_graph.tscn,This button does not work. Please drag a table from left tree into this panel.,该按钮暂不可用，请将左侧树节点的数据表拖拽至面板内。,此按鈕無法使用，請將左側樹狀清單的資料表拖曳至面板內。,このボタンは使用できません。左のツリーからテーブルをパネルへドラッグしてください。,이 버튼은 사용할 수 없습니다. 왼쪽 트리에서 테이블을 패널로 드래그하세요.,Este botón no funciona. Arrastra una tabla desde el árbol izquierdo a este panel.,Este botão não funciona. Arraste uma tabela da árvore esquerda para este painel.,Ce bouton ne fonctionne pas. Faites glisser une table depuis l'arborescence de gauche vers ce panneau.,Diese Schaltfläche funktioniert nicht. Ziehe eine Tabelle aus der linken Baumansicht in dieses Panel.,Кнопка неактивна. Перетащите таблицу из левого дерева на панель.,Questo pulsante non funziona. Trascina una tabella dall'albero sinistro nel pannello.,Ten przycisk jest nieaktywny. Przeciągnij tabelę z lewego drzewa do tego panelu.,Bu buton kullanılamıyor. Sol ağaçtan bir tabloyu panele sürükleyin.
Include,,,res://addons/gdsql/tabs/mapper_graph.tscn,Include,引入文件,引入檔案,インクルード,포함,Incluir,Incluir,Inclure,Einfügen,Включить,Includi,Dołącz,Dahil Et
Generated XML content will be written to this file. Leave this empty if you don't want to generate XML file.,,,res://addons/gdsql/tabs/mapper_graph.tscn,Generated XML content will be written to this file. Leave this empty if you don't want to generate XML file.,生成的XML内容将保存至该文件，留空则不生成。,產生的 XML 內容將寫入此檔案，不需產生則留空。,生成されたXML内容をこのファイルに書き込みます。XMLファイルを作成しない場合は空のままにしてください。,생성된 XML 내용을 이 파일에 저장합니다. XML 파일이 필요하지 않은 경우 비워 두세요.,El contenido XML generado se guardará en este archivo. Déjalo vacío para no generarlo.,O conteúdo XML gerado será gravado neste arquivo. Deixe em branco se não quiser gerar arquivo XML.,Le contenu XML généré sera enregistré dans ce fichier. Laissez vide pour ne pas générer de fichier.,"Generierter XML-Inhalt wird in diese Datei gespeichert. Leer lassen, um keine Datei zu erstellen.",Сгенерированное XML-содержимое будет сохранено в этом файле. Оставьте пустым для отключения.,Il contenuto XML generato verrà salvato in questo file. Lascia vuoto per non generarlo.,"Wygenerowana zawartość XML zostanie zapisana w tym pliku. Pozostaw puste, aby nie tworzyć pliku.",Oluşturulan XML içeriği bu dosyaya kaydedilecektir. XML dosyası oluşturmak istemiyorsanız boş bırakın.
Save path (dir),,,res://addons/gdsql/tabs/mapper_graph.tscn,Save path (dir),保存路径（文件夹）,儲存路徑 (資料夾),保存パス（フォルダ）,저장 경로（폴더）,Ruta de guardado (carpeta),Caminho de Salvamento (pasta),Chemin d'enregistrement (dossier),Speicherpfad (Ordner),Путь сохранения (папка),Percorso salvataggio (cartella),Ścieżka zapisu (folder),Kaydetme Yolu (klasör)
"Determine the way how to write result map and vo sql.
Simplest: Omit all non-associated/collected fields.
Full: Full fields.",,,res://addons/gdsql/tabs/mapper_graph.tscn,"Determine the way how to write result map and vo sql.
Simplest: Omit all non-associated/collected fields.
Full: Full fields.","设置结果映射与VO生成规则
精简模式：忽略非关联/非集合字段
完整模式：保留全部字段","設定結果對應與 SQL 寫入規則
精簡模式：忽略所有非關聯、非集合欄位
完整模式：保留全部欄位。","結果マップとSQL出力方式を設定
簡易：非関連・非取得フィールドを省略
完全：全フィールドを保持。","결과 매핑 및 SQL 작성 방식 설정
간단: 연결되지 않은 필드 생략
전체: 모든 필드 유지.","Establece el modo de escritura de mapeo y SQL
Sencillo: omite campos sin relación/colección
Completo: mantiene todos los campos.","Defina a forma de gravar o mapa de resultado e o SQL.
Simples: omitir campos não associados/coletados.
Completo: manter todos os campos.","Définir le mode d'écriture du mappage de résultat et du SQL
Simple : omettre les champs non associés
Complet : conserver tous les champs.","Schreibweise für Ergebniszuordnung und SQL festlegen
Einfach: Nicht zugeordnete Felder weglassen
Vollständig: Alle Felder beibehalten.","Режим сохранения сопоставления и SQL
Простой: пропустить несвязанные поля
Полный: сохранить все поля.","Modalità scrittura mappatura e SQL
Semplice: salta campi non associati
Completo: mantieni tutti i campi.","Ustaw tryb zapisu mapy wyników i SQL
Prosty: pomijaj niepowiązane pola
Pełny: zachowaj wszystkie pola.","Sonuç eşleştirme ve SQL yazma modunu ayarla
Basit: ilişkili/alinmayan alanları atla
Tam: tüm alanları koru."
Simplest,,,res://addons/gdsql/tabs/mapper_graph.tscn,Simplest,精简模式,精簡模式,簡易,간단,Sencillo,Simples,Simple,Einfach,Простой,Semplice,Prosty,Basit
Full,,,res://addons/gdsql/tabs/mapper_graph.tscn,Full,完整模式,完整模式,完全,전체,Completo,Completo,Complet,Vollständig,Полный,Completo,Pełny,Tam
